İL ADI,İLÇE ADI,SECMEN_SAYISI,OY_KULLANAN_SECMEN_SAYISI,GECERLI_OY_TOPLAMI,GECERSIZ_OY_TOPLAMI,ENLEM,BOYLAM,GECERSIZ_OY_ORAN
İSTANBUL-1,SULTANBEYLİ-2,83946,73819,68870,4949,40.974823,29.27440466666667,6.704236036792696
İSTANBUL-1,TUZLA,151710,132495,124853,7642,40.867327411764705,29.341146294117646,5.767764821314012
İSTANBUL-1,ÇEKMEKÖY,150430,132576,124635,7941,41.044444380952385,29.239756095238093,5.989771904417089
İSTANBUL-1,ÜMRANİYE-1,150155,130016,122328,7688,41.03405353846154,29.10127192307692,5.9131183854294855
İSTANBUL-1,ÜMRANİYE-2,171068,147656,139734,7922,41.018382555555554,29.121577777777777,5.365173105054993
İSTANBUL-1,ÜMRANİYE-3,155401,135572,128144,7428,41.01410346153846,29.159075000000005,5.4790074646682205
İSTANBUL-1,ÜSKÜDAR-1,116163,97601,93047,4554,41.02201316666667,29.022758166666662,4.665935799838116
İSTANBUL-1,ÜSKÜDAR-2,157681,137726,131084,6642,41.044807000000006,29.060009214285717,4.822618822880211
İSTANBUL-1,ÜSKÜDAR-3,128993,113321,108292,5029,41.015059857142866,29.07005357142857,4.437835882140115
İSTANBUL-1,ŞİLE,24778,21984,20912,1072,41.11170724193547,29.64365948387096,4.87627365356623
İSTANBUL-2,BAYRAMPAŞA-1,89781,78379,72347,6032,41.03954242857143,28.904415857142855,7.695938963242706
İSTANBUL-2,BAYRAMPAŞA-2,108749,94510,87063,7447,41.061251,28.8958605,7.879589461432652
İSTANBUL-2,BEYOĞLU-1,46393,37454,35670,1784,41.03254878571429,28.978934928571437,4.763176162759652
İSTANBUL-2,BEYOĞLU-2,128786,108989,101561,7428,41.04103176470588,28.96143905882353,6.815366688381397
İSTANBUL-2,BEŞİKTAŞ,146261,125771,121009,4762,41.06124586956522,29.018791000000004,3.7862464320073785
İSTANBUL-2,ESENLER-1,144669,125201,116670,8531,41.03642366666667,28.885257222222222,6.813843339909425
İSTANBUL-2,ESENLER-2,164576,143798,134092,9706,41.05566914285714,28.86785442857143,6.749746171713097
İSTANBUL-2,EYÜP-1,87334,74755,69207,5548,41.0499371,28.9318552,7.421577152029965
İSTANBUL-2,EYÜP-2,177949,156369,146477,9892,41.15557711111111,28.897879444444445,6.32606207112663
İSTANBUL-2,FATİH-1,99825,82870,77523,5347,41.013442789473686,28.958993947368423,6.4522746470375285
İSTANBUL-2,FATİH-2,103710,86208,80526,5682,41.01534578947369,28.957562473684213,6.591035634743875
İSTANBUL-2,FATİH-3,99783,82572,77199,5373,41.0106922631579,28.950497000000006,6.50704839412876
İSTANBUL-2,GAZİOSMANPAŞA-1,112596,94288,86968,7320,41.06000171428571,28.922627428571428,7.763448158832513
İSTANBUL-2,GAZİOSMANPAŞA-2,116034,99732,91794,7938,41.0716428,28.901237200000004,7.959331007099026
İSTANBUL-2,GAZİOSMANPAŞA-3,122073,106849,99470,7379,41.08635125,28.90188625,6.906007543355576
İSTANBUL-2,KAĞITHANE-1,164891,141354,132433,8921,41.07585333333333,28.97304555555556,6.311105451561329
İSTANBUL-2,KAĞITHANE-2,148105,125702,117080,8622,41.084837300000004,28.9954236,6.859079410033253
İSTANBUL-2,SARIYER-1,122241,105189,98884,6305,41.18439691666668,29.03585416666667,5.993972753805055
İSTANBUL-2,SARIYER-2,123328,105375,98524,6851,41.1091465,29.035532571428572,6.501542111506524
